District,Crop,Market_Price_Per_Quintal
Bagalkot,Bajra(Pearl Millet/Cumbu),5149
Bagalkot,Banana,3227
Bagalkot,Bhindi(Ladies Finger),1889
Bagalkot,Bitter gourd,876
Bagalkot,Bottle gourd,868
Bagalkot,Brinjal,1790
Bagalkot,Capsicum,1274
Bagalkot,Cucumber(Kheera),1801
Bagalkot,Green Avare(W),1088
Bagalkot,Green Chilli,2090
Bagalkot,Groundnut,2790
Bagalkot,Guava,1042
Bagalkot,Jowar(Sorghum),4517
Bagalkot,Karbuja(Musk Melon),1061
Bagalkot,Lemon,1002
Bagalkot,Maize,2605
Bagalkot,Mango,2303
Bagalkot,Mango(Raw-Ripe),3321
Bagalkot,Millets,5092
Bagalkot,Mustard,709
Bagalkot,Onion,2821
Bagalkot,Onion Green,798
Bagalkot,Orange,2386
Bagalkot,Papaya,2115
Bagalkot,Papaya(Raw),1675
Bagalkot,Pomegranate,1313
Bagalkot,Pumpkin,3301
Bagalkot,Red Gram,7364
Bagalkot,Ridgegourd(Tori),781
Bagalkot,Round gourd,2970
Bagalkot,Season Leaves,3093
Bagalkot,"Sesamum(Sesame,Gingelly,Til)",3287
Bagalkot,Snakegourd,2401
Bagalkot,Soanf,2033
Bagalkot,Soyabean,1359
Bagalkot,Sponge gourd,2036
Bagalkot,Sugarcane,343
Bagalkot,Surat Beans(Papadi),3037
Bagalkot,Sweet Pumpkin,1220
Bagalkot,Tamarind Fruit,1462
Bagalkot,Tender Coconut,3029
Bagalkot,Thondekai,3322
Bagalkot,Tomatao,1754
Bagalkot,Water Melon,1669
Bagalkot,Wheat,2155
Bagalkot,Cabbage,3498
Bagalkot,Carrot,710
Bagalkot,Cauliflower,890
Bagalkot,Coconut,3137
Bagalkot,Ginger(Green),6805
Bagalkot,Green Peas,1035
Bagalkot,Marigold(Calcutta),2453
Bagalkot,Marigold(loose),1093
Bagalkot,Pineapple,2589
Bagalkot,Potato,1659
Bagalkot,Raddish,2981
Bagalkot,Rose(Local),2894
Bagalkot,Rubber,565
Bagalkot,Seemebadnekai,1176
Bagalkot,Spinach,2177
Bagalkot,Sweet Potato,2757
Bagalkot,Turmeric,11284
Bagalkot,White Peas,945
Bagalkot,Beans,1797
Bagalkot,Jute,2559
Bagalkot,Paddy(Basmati),2591
Bagalkot,Paddy(Common),2504
Bagalkot,Pointed gourd(Parval),989
Bagalkot,Rice,2585
Ballari (Bellary),Bajra(Pearl Millet/Cumbu),5341
Ballari (Bellary),Banana,3143
Ballari (Bellary),Bhindi(Ladies Finger),2719
Ballari (Bellary),Bitter gourd,1654
Ballari (Bellary),Bottle gourd,3011
Ballari (Bellary),Brinjal,1269
Ballari (Bellary),Capsicum,603
Ballari (Bellary),Cucumber(Kheera),3008
Ballari (Bellary),Green Avare(W),3405
Ballari (Bellary),Green Chilli,1521
Ballari (Bellary),Groundnut,1336
Ballari (Bellary),Guava,502
Ballari (Bellary),Jowar(Sorghum),4826
Ballari (Bellary),Karbuja(Musk Melon),3293
Ballari (Bellary),Lemon,1520
Ballari (Bellary),Maize,2127
Ballari (Bellary),Mango,3753
Ballari (Bellary),Mango(Raw-Ripe),4010
Ballari (Bellary),Millets,4820
Ballari (Bellary),Mustard,1041
Ballari (Bellary),Onion,1880
Ballari (Bellary),Onion Green,2961
Ballari (Bellary),Orange,2362
Ballari (Bellary),Papaya,3440
Ballari (Bellary),Papaya(Raw),1927
Ballari (Bellary),Pomegranate,1127
Ballari (Bellary),Pumpkin,1030
Ballari (Bellary),Red Gram,8960
Ballari (Bellary),Ridgegourd(Tori),2359
Ballari (Bellary),Round gourd,2027
Ballari (Bellary),Season Leaves,2641
Ballari (Bellary),"Sesamum(Sesame,Gingelly,Til)",870
Ballari (Bellary),Snakegourd,1262
Ballari (Bellary),Soanf,2599
Ballari (Bellary),Soyabean,510
Ballari (Bellary),Sponge gourd,1115
Ballari (Bellary),Sugarcane,368
Ballari (Bellary),Surat Beans(Papadi),2943
Ballari (Bellary),Sweet Pumpkin,2982
Ballari (Bellary),Tamarind Fruit,3028
Ballari (Bellary),Tender Coconut,3404
Ballari (Bellary),Thondekai,3252
Ballari (Bellary),Tomatao,1754
Ballari (Bellary),Water Melon,3834
Ballari (Bellary),Wheat,2106
Ballari (Bellary),Cabbage,2804
Ballari (Bellary),Carrot,1288
Ballari (Bellary),Cauliflower,2214
Ballari (Bellary),Coconut,2718
Ballari (Bellary),Ginger(Green),7204
Ballari (Bellary),Green Peas,939
Ballari (Bellary),Marigold(Calcutta),3467
Ballari (Bellary),Marigold(loose),2641
Ballari (Bellary),Pineapple,2288
Ballari (Bellary),Potato,2182
Ballari (Bellary),Raddish,3020
Ballari (Bellary),Rose(Local),1568
Ballari (Bellary),Rubber,2663
Ballari (Bellary),Seemebadnekai,1195
Ballari (Bellary),Spinach,1149
Ballari (Bellary),Sweet Potato,3423
Ballari (Bellary),Turmeric,11545
Ballari (Bellary),White Peas,531
Ballari (Bellary),Beans,1907
Ballari (Bellary),Jute,2184
Ballari (Bellary),Paddy(Basmati),2169
Ballari (Bellary),Paddy(Common),2172
Ballari (Bellary),Pointed gourd(Parval),2894
Ballari (Bellary),Rice,2185
Belagavi (Belgaum),Bajra(Pearl Millet/Cumbu),5335
Belagavi (Belgaum),Banana,3720
Belagavi (Belgaum),Bhindi(Ladies Finger),686
Belagavi (Belgaum),Bitter gourd,1541
Belagavi (Belgaum),Bottle gourd,1629
Belagavi (Belgaum),Brinjal,3299
Belagavi (Belgaum),Capsicum,2970
Belagavi (Belgaum),Cucumber(Kheera),1097
Belagavi (Belgaum),Green Avare(W),1305
Belagavi (Belgaum),Green Chilli,1501
Belagavi (Belgaum),Groundnut,3214
Belagavi (Belgaum),Guava,2572
Belagavi (Belgaum),Jowar(Sorghum),4655
Belagavi (Belgaum),Karbuja(Musk Melon),3535
Belagavi (Belgaum),Lemon,1556
Belagavi (Belgaum),Maize,2166
Belagavi (Belgaum),Mango,4350
Belagavi (Belgaum),Mango(Raw-Ripe),4287
Belagavi (Belgaum),Millets,4679
Belagavi (Belgaum),Mustard,2600
Belagavi (Belgaum),Onion,3145
Belagavi (Belgaum),Onion Green,1508
Belagavi (Belgaum),Orange,3143
Belagavi (Belgaum),Papaya,2035
Belagavi (Belgaum),Papaya(Raw),2419
Belagavi (Belgaum),Pomegranate,1884
Belagavi (Belgaum),Pumpkin,1056
Belagavi (Belgaum),Red Gram,7789
Belagavi (Belgaum),Ridgegourd(Tori),655
Belagavi (Belgaum),Round gourd,1149
Belagavi (Belgaum),Season Leaves,961
Belagavi (Belgaum),"Sesamum(Sesame,Gingelly,Til)",1822
Belagavi (Belgaum),Snakegourd,2924
Belagavi (Belgaum),Soanf,2381
Belagavi (Belgaum),Soyabean,2137
Belagavi (Belgaum),Sponge gourd,763
Belagavi (Belgaum),Sugarcane,372
Belagavi (Belgaum),Surat Beans(Papadi),1208
Belagavi (Belgaum),Sweet Pumpkin,775
Belagavi (Belgaum),Tamarind Fruit,2545
Belagavi (Belgaum),Tender Coconut,3405
Belagavi (Belgaum),Thondekai,2681
Belagavi (Belgaum),Tomatao,2406
Belagavi (Belgaum),Water Melon,1954
Belagavi (Belgaum),Wheat,2443
Belagavi (Belgaum),Cabbage,3029
Belagavi (Belgaum),Carrot,1923
Belagavi (Belgaum),Cauliflower,918
Belagavi (Belgaum),Coconut,1524
Belagavi (Belgaum),Ginger(Green),11095
Belagavi (Belgaum),Green Peas,2355
Belagavi (Belgaum),Marigold(Calcutta),3366
Belagavi (Belgaum),Marigold(loose),3481
Belagavi (Belgaum),Pineapple,3099
Belagavi (Belgaum),Potato,2456
Belagavi (Belgaum),Raddish,850
Belagavi (Belgaum),Rose(Local),2250
Belagavi (Belgaum),Rubber,3451
Belagavi (Belgaum),Seemebadnekai,3042
Belagavi (Belgaum),Spinach,2134
Belagavi (Belgaum),Sweet Potato,3154
Belagavi (Belgaum),Turmeric,12067
Belagavi (Belgaum),White Peas,2117
Belagavi (Belgaum),Beans,1352
Belagavi (Belgaum),Jute,2876
Belagavi (Belgaum),Paddy(Basmati),2463
Belagavi (Belgaum),Paddy(Common),2532
Belagavi (Belgaum),Pointed gourd(Parval),2657
Belagavi (Belgaum),Rice,2469
Bengaluru Rural,Bajra(Pearl Millet/Cumbu),5136
Bengaluru Rural,Banana,2235
Bengaluru Rural,Bhindi(Ladies Finger),2826
Bengaluru Rural,Bitter gourd,1121
Bengaluru Rural,Bottle gourd,965
Bengaluru Rural,Brinjal,2863
Bengaluru Rural,Capsicum,1552
Bengaluru Rural,Cucumber(Kheera),3229
Bengaluru Rural,Green Avare(W),2792
Bengaluru Rural,Green Chilli,2913
Bengaluru Rural,Groundnut,3156
Bengaluru Rural,Guava,2790
Bengaluru Rural,Jowar(Sorghum),4233
Bengaluru Rural,Karbuja(Musk Melon),1215
Bengaluru Rural,Lemon,714
Bengaluru Rural,Maize,2453
Bengaluru Rural,Mango,3447
Bengaluru Rural,Mango(Raw-Ripe),3316
Bengaluru Rural,Millets,4855
Bengaluru Rural,Mustard,3257
Bengaluru Rural,Onion,1514
Bengaluru Rural,Onion Green,1668
Bengaluru Rural,Orange,1649
Bengaluru Rural,Papaya,1806
Bengaluru Rural,Papaya(Raw),2397
Bengaluru Rural,Pomegranate,1986
Bengaluru Rural,Pumpkin,746
Bengaluru Rural,Red Gram,7553
Bengaluru Rural,Ridgegourd(Tori),3300
Bengaluru Rural,Round gourd,811
Bengaluru Rural,Season Leaves,2847
Bengaluru Rural,"Sesamum(Sesame,Gingelly,Til)",2365
Bengaluru Rural,Snakegourd,2511
Bengaluru Rural,Soanf,1715
Bengaluru Rural,Soyabean,1883
Bengaluru Rural,Sponge gourd,3327
Bengaluru Rural,Sugarcane,372
Bengaluru Rural,Surat Beans(Papadi),1451
Bengaluru Rural,Sweet Pumpkin,2580
Bengaluru Rural,Tamarind Fruit,787
Bengaluru Rural,Tender Coconut,2840
Bengaluru Rural,Thondekai,1537
Bengaluru Rural,Tomatao,1173
Bengaluru Rural,Water Melon,2770
Bengaluru Rural,Wheat,2632
Bengaluru Rural,Cabbage,2600
Bengaluru Rural,Carrot,1069
Bengaluru Rural,Cauliflower,1062
Bengaluru Rural,Coconut,2681
Bengaluru Rural,Ginger(Green),11318
Bengaluru Rural,Green Peas,618
Bengaluru Rural,Marigold(Calcutta),3090
Bengaluru Rural,Marigold(loose),2998
Bengaluru Rural,Pineapple,2869
Bengaluru Rural,Potato,3114
Bengaluru Rural,Raddish,1166
Bengaluru Rural,Rose(Local),3243
Bengaluru Rural,Rubber,3198
Bengaluru Rural,Seemebadnekai,3475
Bengaluru Rural,Spinach,2760
Bengaluru Rural,Sweet Potato,1236
Bengaluru Rural,Turmeric,9879
Bengaluru Rural,White Peas,1509
Bengaluru Rural,Beans,626
Bengaluru Rural,Jute,2781
Bengaluru Rural,Paddy(Basmati),2264
Bengaluru Rural,Paddy(Common),2231
Bengaluru Rural,Pointed gourd(Parval),2342
Bengaluru Rural,Rice,2253
Bengaluru Urban,Bajra(Pearl Millet/Cumbu),4493
Bengaluru Urban,Banana,3030
Bengaluru Urban,Bhindi(Ladies Finger),1747
Bengaluru Urban,Bitter gourd,1739
Bengaluru Urban,Bottle gourd,2005
Bengaluru Urban,Brinjal,1501
Bengaluru Urban,Capsicum,2186
Bengaluru Urban,Cucumber(Kheera),703
Bengaluru Urban,Green Avare(W),676
Bengaluru Urban,Green Chilli,2847
Bengaluru Urban,Groundnut,607
Bengaluru Urban,Guava,2939
Bengaluru Urban,Jowar(Sorghum),4573
Bengaluru Urban,Karbuja(Musk Melon),1881
Bengaluru Urban,Lemon,760
Bengaluru Urban,Maize,2596
Bengaluru Urban,Mango,4404
Bengaluru Urban,Mango(Raw-Ripe),3602
Bengaluru Urban,Millets,4402
Bengaluru Urban,Mustard,1128
Bengaluru Urban,Onion,2099
Bengaluru Urban,Onion Green,719
Bengaluru Urban,Orange,972
Bengaluru Urban,Papaya,2294
Bengaluru Urban,Papaya(Raw),2412
Bengaluru Urban,Pomegranate,1033
Bengaluru Urban,Pumpkin,1959
Bengaluru Urban,Red Gram,7974
Bengaluru Urban,Ridgegourd(Tori),906
Bengaluru Urban,Round gourd,1265
Bengaluru Urban,Season Leaves,1640
Bengaluru Urban,"Sesamum(Sesame,Gingelly,Til)",1798
Bengaluru Urban,Snakegourd,1125
Bengaluru Urban,Soanf,3113
Bengaluru Urban,Soyabean,1958
Bengaluru Urban,Sponge gourd,2387
Bengaluru Urban,Sugarcane,359
Bengaluru Urban,Surat Beans(Papadi),3256
Bengaluru Urban,Sweet Pumpkin,2759
Bengaluru Urban,Tamarind Fruit,1030
Bengaluru Urban,Tender Coconut,1597
Bengaluru Urban,Thondekai,1580
Bengaluru Urban,Tomatao,643
Bengaluru Urban,Water Melon,3200
Bengaluru Urban,Wheat,2262
Bengaluru Urban,Cabbage,2659
Bengaluru Urban,Carrot,960
Bengaluru Urban,Cauliflower,2671
Bengaluru Urban,Coconut,3082
Bengaluru Urban,Ginger(Green),10911
Bengaluru Urban,Green Peas,1422
Bengaluru Urban,Marigold(Calcutta),3077
Bengaluru Urban,Marigold(loose),903
Bengaluru Urban,Pineapple,2162
Bengaluru Urban,Potato,718
Bengaluru Urban,Raddish,3068
Bengaluru Urban,Rose(Local),3110
Bengaluru Urban,Rubber,1533
Bengaluru Urban,Seemebadnekai,2537
Bengaluru Urban,Spinach,976
Bengaluru Urban,Sweet Potato,1800
Bengaluru Urban,Turmeric,12165
Bengaluru Urban,White Peas,2039
Bengaluru Urban,Beans,1617
Bengaluru Urban,Jute,1619
Bengaluru Urban,Paddy(Basmati),2188
Bengaluru Urban,Paddy(Common),2339
Bengaluru Urban,Pointed gourd(Parval),2613
Bengaluru Urban,Rice,2419
Bidar,Bajra(Pearl Millet/Cumbu),4575
Bidar,Banana,2625
Bidar,Bhindi(Ladies Finger),1621
Bidar,Bitter gourd,1554
Bidar,Bottle gourd,629
Bidar,Brinjal,2248
Bidar,Capsicum,1324
Bidar,Cucumber(Kheera),3033
Bidar,Green Avare(W),2218
Bidar,Green Chilli,2537
Bidar,Groundnut,1576
Bidar,Guava,3222
Bidar,Jowar(Sorghum),4795
Bidar,Karbuja(Musk Melon),1804
Bidar,Lemon,911
Bidar,Maize,2499
Bidar,Mango,3592
Bidar,Mango(Raw-Ripe),2993
Bidar,Millets,4318
Bidar,Mustard,2155
Bidar,Onion,2912
Bidar,Onion Green,764
Bidar,Orange,1316
Bidar,Papaya,3415
Bidar,Papaya(Raw),1943
Bidar,Pomegranate,2427
Bidar,Pumpkin,2264
Bidar,Red Gram,8376
Bidar,Ridgegourd(Tori),1354
Bidar,Round gourd,988
Bidar,Season Leaves,2166
Bidar,"Sesamum(Sesame,Gingelly,Til)",1446
Bidar,Snakegourd,873
Bidar,Soanf,2007
Bidar,Soyabean,1534
Bidar,Sponge gourd,2137
Bidar,Sugarcane,354
Bidar,Surat Beans(Papadi),1263
Bidar,Sweet Pumpkin,937
Bidar,Tamarind Fruit,1809
Bidar,Tender Coconut,3209
Bidar,Thondekai,2887
Bidar,Tomatao,2538
Bidar,Water Melon,3103
Bidar,Wheat,2353
Bidar,Cabbage,2739
Bidar,Carrot,2289
Bidar,Cauliflower,2263
Bidar,Coconut,2527
Bidar,Ginger(Green),7436
Bidar,Green Peas,2706
Bidar,Marigold(Calcutta),2281
Bidar,Marigold(loose),2283
Bidar,Pineapple,2079
Bidar,Potato,2792
Bidar,Raddish,1126
Bidar,Rose(Local),1267
Bidar,Rubber,919
Bidar,Seemebadnekai,2242
Bidar,Spinach,2120
Bidar,Sweet Potato,2065
Bidar,Turmeric,11230
Bidar,White Peas,1819
Bidar,Beans,3204
Bidar,Jute,1467
Bidar,Paddy(Basmati),2697
Bidar,Paddy(Common),2384
Bidar,Pointed gourd(Parval),3455
Bidar,Rice,2122
Chamarajanagar,Bajra(Pearl Millet/Cumbu),4604
Chamarajanagar,Banana,2763
Chamarajanagar,Bhindi(Ladies Finger),2103
Chamarajanagar,Bitter gourd,768
Chamarajanagar,Bottle gourd,1119
Chamarajanagar,Brinjal,2835
Chamarajanagar,Capsicum,2438
Chamarajanagar,Cucumber(Kheera),3321
Chamarajanagar,Green Avare(W),2046
Chamarajanagar,Green Chilli,1252
Chamarajanagar,Groundnut,2092
Chamarajanagar,Guava,2980
Chamarajanagar,Jowar(Sorghum),5235
Chamarajanagar,Karbuja(Musk Melon),1305
Chamarajanagar,Lemon,1143
Chamarajanagar,Maize,2691
Chamarajanagar,Mango,3161
Chamarajanagar,Mango(Raw-Ripe),4370
Chamarajanagar,Millets,4335
Chamarajanagar,Mustard,2222
Chamarajanagar,Onion,3241
Chamarajanagar,Onion Green,930
Chamarajanagar,Orange,3444
Chamarajanagar,Papaya,3249
Chamarajanagar,Papaya(Raw),1445
Chamarajanagar,Pomegranate,3321
Chamarajanagar,Pumpkin,2447
Chamarajanagar,Red Gram,7655
Chamarajanagar,Ridgegourd(Tori),996
Chamarajanagar,Round gourd,2051
Chamarajanagar,Season Leaves,2461
Chamarajanagar,"Sesamum(Sesame,Gingelly,Til)",2804
Chamarajanagar,Snakegourd,1721
Chamarajanagar,Soanf,1427
Chamarajanagar,Soyabean,1823
Chamarajanagar,Sponge gourd,2607
Chamarajanagar,Sugarcane,348
Chamarajanagar,Surat Beans(Papadi),1151
Chamarajanagar,Sweet Pumpkin,3276
Chamarajanagar,Tamarind Fruit,3230
Chamarajanagar,Tender Coconut,1302
Chamarajanagar,Thondekai,967
Chamarajanagar,Tomatao,3263
Chamarajanagar,Water Melon,1679
Chamarajanagar,Wheat,2157
Chamarajanagar,Cabbage,702
Chamarajanagar,Carrot,3191
Chamarajanagar,Cauliflower,2515
Chamarajanagar,Coconut,696
Chamarajanagar,Ginger(Green),12465
Chamarajanagar,Green Peas,1481
Chamarajanagar,Marigold(Calcutta),3435
Chamarajanagar,Marigold(loose),3151
Chamarajanagar,Pineapple,3023
Chamarajanagar,Potato,1601
Chamarajanagar,Raddish,871
Chamarajanagar,Rose(Local),1580
Chamarajanagar,Rubber,2673
Chamarajanagar,Seemebadnekai,1817
Chamarajanagar,Spinach,1135
Chamarajanagar,Sweet Potato,2821
Chamarajanagar,Turmeric,11213
Chamarajanagar,White Peas,1185
Chamarajanagar,Beans,2939
Chamarajanagar,Jute,3097
Chamarajanagar,Paddy(Basmati),2174
Chamarajanagar,Paddy(Common),2327
Chamarajanagar,Pointed gourd(Parval),990
Chamarajanagar,Rice,2586
Chikkaballapura,Bajra(Pearl Millet/Cumbu),4826
Chikkaballapura,Banana,2293
Chikkaballapura,Bhindi(Ladies Finger),1535
Chikkaballapura,Bitter gourd,2888
Chikkaballapura,Bottle gourd,958
Chikkaballapura,Brinjal,1029
Chikkaballapura,Capsicum,730
Chikkaballapura,Cucumber(Kheera),3129
Chikkaballapura,Green Avare(W),618
Chikkaballapura,Green Chilli,2191
Chikkaballapura,Groundnut,677
Chikkaballapura,Guava,2479
Chikkaballapura,Jowar(Sorghum),4675
Chikkaballapura,Karbuja(Musk Melon),554
Chikkaballapura,Lemon,2932
Chikkaballapura,Maize,2453
Chikkaballapura,Mango,2559
Chikkaballapura,Mango(Raw-Ripe),3984
Chikkaballapura,Millets,4256
Chikkaballapura,Mustard,2479
Chikkaballapura,Onion,1230
Chikkaballapura,Onion Green,1910
Chikkaballapura,Orange,965
Chikkaballapura,Papaya,1846
Chikkaballapura,Papaya(Raw),3300
Chikkaballapura,Pomegranate,666
Chikkaballapura,Pumpkin,3451
Chikkaballapura,Red Gram,8986
Chikkaballapura,Ridgegourd(Tori),1394
Chikkaballapura,Round gourd,1283
Chikkaballapura,Season Leaves,2354
Chikkaballapura,"Sesamum(Sesame,Gingelly,Til)",3355
Chikkaballapura,Snakegourd,2184
Chikkaballapura,Soanf,1512
Chikkaballapura,Soyabean,3132
Chikkaballapura,Sponge gourd,2394
Chikkaballapura,Sugarcane,341
Chikkaballapura,Surat Beans(Papadi),2496
Chikkaballapura,Sweet Pumpkin,991
Chikkaballapura,Tamarind Fruit,1411
Chikkaballapura,Tender Coconut,3238
Chikkaballapura,Thondekai,2294
Chikkaballapura,Tomatao,1922
Chikkaballapura,Water Melon,1251
Chikkaballapura,Wheat,2149
Chikkaballapura,Cabbage,1456
Chikkaballapura,Carrot,3068
Chikkaballapura,Cauliflower,3149
Chikkaballapura,Coconut,3015
Chikkaballapura,Ginger(Green),7514
Chikkaballapura,Green Peas,1671
Chikkaballapura,Marigold(Calcutta),2780
Chikkaballapura,Marigold(loose),1413
Chikkaballapura,Pineapple,3864
Chikkaballapura,Potato,1994
Chikkaballapura,Raddish,2237
Chikkaballapura,Rose(Local),2988
Chikkaballapura,Rubber,1620
Chikkaballapura,Seemebadnekai,3493
Chikkaballapura,Spinach,1562
Chikkaballapura,Sweet Potato,2661
Chikkaballapura,Turmeric,7224
Chikkaballapura,White Peas,3128
Chikkaballapura,Beans,2730
Chikkaballapura,Jute,2530
Chikkaballapura,Paddy(Basmati),2311
Chikkaballapura,Paddy(Common),2594
Chikkaballapura,Pointed gourd(Parval),3315
Chikkaballapura,Rice,2634
Chikkamagaluru,Bajra(Pearl Millet/Cumbu),4343
Chikkamagaluru,Banana,3410
Chikkamagaluru,Bhindi(Ladies Finger),905
Chikkamagaluru,Bitter gourd,1957
Chikkamagaluru,Bottle gourd,1147
Chikkamagaluru,Brinjal,748
Chikkamagaluru,Capsicum,730
Chikkamagaluru,Cucumber(Kheera),1386
Chikkamagaluru,Green Avare(W),1747
Chikkamagaluru,Green Chilli,963
Chikkamagaluru,Groundnut,522
Chikkamagaluru,Guava,1060
Chikkamagaluru,Jowar(Sorghum),5347
Chikkamagaluru,Karbuja(Musk Melon),3686
Chikkamagaluru,Lemon,3018
Chikkamagaluru,Maize,2577
Chikkamagaluru,Mango,2688
Chikkamagaluru,Mango(Raw-Ripe),3937
Chikkamagaluru,Millets,4605
Chikkamagaluru,Mustard,3204
Chikkamagaluru,Onion,969
Chikkamagaluru,Onion Green,2938
Chikkamagaluru,Orange,3428
Chikkamagaluru,Papaya,3314
Chikkamagaluru,Papaya(Raw),2829
Chikkamagaluru,Pomegranate,2019
Chikkamagaluru,Pumpkin,3212
Chikkamagaluru,Red Gram,7557
Chikkamagaluru,Ridgegourd(Tori),2223
Chikkamagaluru,Round gourd,2367
Chikkamagaluru,Season Leaves,532
Chikkamagaluru,"Sesamum(Sesame,Gingelly,Til)",2788
Chikkamagaluru,Snakegourd,519
Chikkamagaluru,Soanf,3072
Chikkamagaluru,Soyabean,675
Chikkamagaluru,Sponge gourd,1086
Chikkamagaluru,Sugarcane,371
Chikkamagaluru,Surat Beans(Papadi),2627
Chikkamagaluru,Sweet Pumpkin,3214
Chikkamagaluru,Tamarind Fruit,3448
Chikkamagaluru,Tender Coconut,3125
Chikkamagaluru,Thondekai,2847
Chikkamagaluru,Tomatao,596
Chikkamagaluru,Water Melon,3325
Chikkamagaluru,Wheat,2195
Chikkamagaluru,Cabbage,2829
Chikkamagaluru,Carrot,2862
Chikkamagaluru,Cauliflower,1322
Chikkamagaluru,Coconut,3277
Chikkamagaluru,Ginger(Green),8968
Chikkamagaluru,Green Peas,3075
Chikkamagaluru,Marigold(Calcutta),557
Chikkamagaluru,Marigold(loose),2871
Chikkamagaluru,Pineapple,2044
Chikkamagaluru,Potato,1920
Chikkamagaluru,Raddish,2779
Chikkamagaluru,Rose(Local),2924
Chikkamagaluru,Rubber,2682
Chikkamagaluru,Seemebadnekai,3481
Chikkamagaluru,Spinach,2291
Chikkamagaluru,Sweet Potato,3338
Chikkamagaluru,Turmeric,11483
Chikkamagaluru,White Peas,1326
Chikkamagaluru,Beans,1519
Chikkamagaluru,Jute,1844
Chikkamagaluru,Paddy(Basmati),2680
Chikkamagaluru,Paddy(Common),2191
Chikkamagaluru,Pointed gourd(Parval),1990
Chikkamagaluru,Rice,2391
Chitradurga,Bajra(Pearl Millet/Cumbu),5172
Chitradurga,Banana,2837
Chitradurga,Bhindi(Ladies Finger),2346
Chitradurga,Bitter gourd,2937
Chitradurga,Bottle gourd,1860
Chitradurga,Brinjal,852
Chitradurga,Capsicum,1804
Chitradurga,Cucumber(Kheera),2128
Chitradurga,Green Avare(W),593
Chitradurga,Green Chilli,3407
Chitradurga,Groundnut,1675
Chitradurga,Guava,3261
Chitradurga,Jowar(Sorghum),5372
Chitradurga,Karbuja(Musk Melon),2652
Chitradurga,Lemon,2336
Chitradurga,Maize,2131
Chitradurga,Mango,2815
Chitradurga,Mango(Raw-Ripe),2623
Chitradurga,Millets,4254
Chitradurga,Mustard,1692
Chitradurga,Onion,1350
Chitradurga,Onion Green,2597
Chitradurga,Orange,2052
Chitradurga,Papaya,809
Chitradurga,Papaya(Raw),1798
Chitradurga,Pomegranate,1281
Chitradurga,Pumpkin,3482
Chitradurga,Red Gram,8470
Chitradurga,Ridgegourd(Tori),2538
Chitradurga,Round gourd,2645
Chitradurga,Season Leaves,2057
Chitradurga,"Sesamum(Sesame,Gingelly,Til)",1075
Chitradurga,Snakegourd,1275
Chitradurga,Soanf,2258
Chitradurga,Soyabean,1146
Chitradurga,Sponge gourd,1727
Chitradurga,Sugarcane,366
Chitradurga,Surat Beans(Papadi),1617
Chitradurga,Sweet Pumpkin,3432
Chitradurga,Tamarind Fruit,1104
Chitradurga,Tender Coconut,2942
Chitradurga,Thondekai,2129
Chitradurga,Tomatao,2322
Chitradurga,Water Melon,3221
Chitradurga,Wheat,2233
Chitradurga,Cabbage,2523
Chitradurga,Carrot,900
Chitradurga,Cauliflower,1005
Chitradurga,Coconut,1044
Chitradurga,Ginger(Green),11556
Chitradurga,Green Peas,3338
Chitradurga,Marigold(Calcutta),2305
